product_id,product_name,category,subcategory,unit_cost,selling_price,reorder_level
P0373,Mixer Pro 373,Home & Kitchen,Storage,231.27,347.29,91
P0374,Dumbbells Classic 374,Sports & Fitness,Fitness,6.87,8.78,56
P0375,Coffee Max 375,Grocery,Packaged Food,43.13,55.77,233
P0376,Trimmer Prime 376,Personal Care,Grooming,198.25,298.16,40
P0377,Yoga Mat Plus 377,Sports & Fitness,Sportswear,110.96,174.67,107
P0378,T-Shirt Classic 378,Sports & Fitness,Equipment,10.32,13.5,135
P0379,Moisturizer Smart 379,Personal Care,Haircare,109.67,164.45,189
P0380,Sunscreen Max 380,Personal Care,Skincare,200.12,303.21,41
P0381,Desk Organizer Prime 381,Office Supplies,Paper,185.69,246.75,47
P0382,USB Hub Elite 382,Electronics,Accessories,91.9,120.09,53
P0383,Keyboard Elite 383,Electronics,Audio,140.58,199.74,46
P0384,USB Hub Plus 384,Electronics,Accessories,150.44,232.98,241
P0385,Moisturizer Smart 385,Personal Care,Skincare,98.79,120.5,250
P0386,Gym Bag Prime 386,Sports & Fitness,Outdoor,172.27,217.0,88
P0387,Desk Organizer Prime 387,Office Supplies,Unknown,18.63,25.79,127
P0388,File Folder Plus 388,Office Supplies,Writing,92.2,149.71,204
P0389,Juice Essential 389,Grocery,Packaged Food,116.09,144.38,21
P0390,Sunscreen Smart 390,Personal Care,Grooming,201.61,269.13,105
P0391,Moisturizer Classic 391,Personal Care,Haircare,151.99,229.02,142
P0392,Desk Organizer Classic 392,Office Supplies,Paper,74.99,112.98,145
P0393,Running Shoes Smart 393,Sports & Fitness,Outdoor,72.23,111.91,113
P0394,Power Bank Prime 394,Electronics,Audio,171.38,246.54,206
P0395,Trimmer Max 395,Personal Care,Haircare,208.33,252.6,237
P0396,Shampoo Max 396,Personal Care,Wellness,62.78,93.52,203
P0397,Face Wash Elite 397,Personal Care,Wellness,247.7,348.08,122
P0398,Gym Bag Pro 398,Sports & Fitness,Equipment,198.31,267.52,249
P0399,Yoga Mat Essential 399,Sports & Fitness,Fitness,165.43,222.81,185
P0400,Gym Bag Smart 400,Sports & Fitness,Fitness,241.8,323.01,223
